repository	commit	branch	license	selected
calcom/cal.com	f00434927386c9ecdcbd7e6c5f82d22044a245bc	main	MIT	2
supabase/realtime	e021aa97cad46fd9f3f6df2da383b76cfd00218c	main	Apache-2.0	1
n8n-io/n8n	267fd853cdc1669e869d280eae687eb6cad89abe	master	NOASSERTION	4
immich-app/immich	bf64f3867bb321dbb9459693fbbed1800be12f44	main	AGPL-3.0	3
ory/kratos	75535cb9fa3dc766c2692983ba4c1f1adf27ae02	master	Apache-2.0	2
ory/hydra	24778dd24bdb4963b05e429b58d79bb40c72fb3a	master	Apache-2.0	2
gobuffalo/buffalo	2aa9868365cdcaa28036efd76e7aac4b7df7bbfc	main	MIT	1
gohugoio/hugo	89b8c322008f5285b81d4b357887292e3b61f708	master	Apache-2.0	1
grafana/k6	99d25c36859b402452b1be58da2d2d63c55ba69c	master	AGPL-3.0	2
semgrep/semgrep	b1b15360b40ec84164f077712053b88dc2c38e31	develop	LGPL-2.1	1
docker-library/busybox	7d88ac3f2be7fdef1fdcb0d11488f3adf615e2a1	master	Apache-2.0	4
docker-library/tomcat	f3407586eb54489354943d0d1be0a595a11825d7	master	Apache-2.0	3
docker-library/cassandra	7b9da8f4f58f48af79feb0fc2f7a1e2c639965f1	master	Apache-2.0	3
jupyter/docker-stacks	2169105158ff77c74366bf154fbc4659b92bc145	main	BSD-3-Clause	4
prefecthq/prefect	8b9c2f8d08f864d94435007f515558094bbc27c1	main	Apache-2.0	4
dagster-io/dagster	3c0b7f1c323c6714375bb04471f21c493c72a3ef	master	Apache-2.0	4
metabase/metabase	cbaff9c03ef9d95c86c1317599b566071cd8146b	master	NOASSERTION	4
dbeaver/cloudbeaver	af42d7f50ae04b787d944de7fc7c614ead06bbc9	devel	Apache-2.0	1
owncloud/ocis	eb06e23a09bcccd723e689f38da629acec54120c	master	Apache-2.0	2
coder/code-server	22b0a3eeabd7f34a1185839553b88f81f1718ceb	main	MIT	3
mastodon/mastodon	87d99b17cc7dd8c116f9759595cc800dc3f931a0	main	AGPL-3.0	2
TryGhost/Ghost	9fd407005ed52b5ae21d20ce029cb529fe8a35c0	main	MIT	2
budibase/budibase	7d3cf5a421f357a2c9b7d8d54265ad73d6621cec	master	NOASSERTION	4
appsmithorg/appsmith	098e53694ee104fa3d7e38f78898d6b69bf0145e	release	Apache-2.0	1
mattermost/focalboard	a84bbb65e32edf972856b329417096ac413518e9	main	NOASSERTION	2
signoz/signoz	9d4349c9d19f94c5a41541bb040a38319b73f438	main	NOASSERTION	1
posthog/posthog	1c745a317a5cf293d8258d23eeda2c865c092acc	master	NOASSERTION	4
docker-library/drupal	39e82484f1903eb2b223b61b4e9210568cd8cf48	master	Apache-2.0	3
